COURSE,E25_LEARNING,E25_MOTIVATION,E25_FEEDBACK,E25_WORKLOAD
11702,,,,
11703,,,,
11704,,,,
11715,,,,
11735,,,,
11738,,,,
11739,,,,
11742,,,,
11743,,,,
11745,,,,
11746,,,,
11747,,,,
11748,,,,
11749,,,,
11760,,,,
11761,,,,
11762,,,,
11763,,,,
11764,,,,
11765,,,,
11767,,,,
11816,,,,
11817,,,,
11818,,,,
11819,,,,
11821,,,,
11822,,,,
11823,,,,
11824,,,,
11825,,,,
11828,,,,
11829,,,,
11830,,,,
11831,,,,
11832,,,,
11833,,,,
11834,,,,
11835,,,,
11836,,,,
11837,,,,
11838,,,,
11843,,,,
11845,,,,
11851,,,,
11852,,,,
11853,,,,
11854,,,,
11857,,,,
11858,,,,
11859,,,,
11880,,,,
11900,,,,
11903,,,,
11904,,,,
11909,,,,
11911,,,,
11913,,,,
11915,,,,
11921,,,,
11924,,,,
11931,,,,
11932,,,,
11933,,,,
11935,,,,
11936,,,,
11937,,,,
11938,,,,
11940,,,,
11941,,,,
11945,,,,
11946,,,,
11947,,,,
11951,,,,
11952,,,,
11953,,,,
11954,,,,
11955,,,,
11956,,,,
11957,,,,
11961,,,,
11966,,,,
11968,,,,
11969,,,,
11970,,,,
11981,,,,
11982,,,,
11990,,,,
11993,,,,
11994,,,,
11995,,,,
11996,,,,
11997,,,,
11998,,,,
11B01,,,,
11B02,,,,
11B03,,,,
11B04,,,,
11B05,,,,
11B11,,,,
11B12,,,,
11B13,,,,
11B17,,,,
11B21,,,,
11B22,,,,
11B23,,,,
11B24,,,,
11B25,,,,
11B26,,,,
11B27,,,,
11B29,,,,
11E16,,,,
11MIB,,,,
12000,"[0, 0, 1, 9, 21]","[0, 0, 2, 11, 18]","[1, 1, 5, 14, 10]","[0, 3, 16, 7, 5]"
12003,,,,
12100,,,,
12101,,,,
12102,"[0, 1, 6, 12, 11]","[2, 4, 8, 11, 5]","[0, 2, 5, 17, 6]","[0, 1, 12, 10, 7]"
12104,"[2, 0, 7, 30, 34]","[1, 7, 9, 36, 20]","[0, 1, 7, 28, 37]","[0, 2, 24, 30, 17]"
12105,"[85, 92, 69, 38, 10]","[112, 88, 48, 23, 14]","[47, 39, 74, 89, 35]","[35, 64, 140, 32, 15]"
12106,"[101, 89, 84, 57, 30]","[125, 84, 65, 53, 25]","[51, 58, 94, 91, 58]","[29, 64, 189, 45, 23]"
12107,,,,
12108,,,,
12109,"[0, 2, 5, 7, 9]","[3, 2, 5, 3, 9]","[3, 1, 5, 4, 9]","[0, 4, 10, 6, 2]"
12110,,,,
12111,"[0, 0, 1, 5, 1]","[0, 0, 3, 4, 0]","[1, 2, 2, 0, 2]","[1, 0, 2, 4, 0]"
12115,,,,
12121,,,,
12122,"[0, 0, 0, 13, 14]","[0, 1, 1, 12, 13]","[0, 11, 4, 7, 5]","[0, 2, 10, 13, 2]"
12123,,,,
12124,,,,
12125,,,,
12130,"[0, 1, 1, 10, 6]","[1, 1, 2, 7, 7]","[0, 0, 8, 6, 4]","[0, 1, 5, 11, 1]"
12131,,,,
12132,"[0, 0, 1, 4, 8]","[0, 0, 1, 1, 11]","[0, 0, 0, 4, 9]","[0, 0, 9, 4, 0]"
12134,"[0, 4, 6, 7, 2]","[3, 5, 5, 4, 1]","[0, 4, 3, 7, 4]","[1, 3, 10, 3, 0]"
12135,,,,
12136,,,,
12137,,,,
12138,,,,
12139,"[11, 12, 8, 17, 14]","[20, 8, 7, 15, 10]","[7, 7, 7, 23, 16]","[2, 6, 25, 16, 11]"
12140,,,,
12141,,,,
12142,,,,
12143,,,,
12144,,,,
12145,"[1, 0, 5, 10, 8]","[0, 2, 8, 7, 7]","[0, 3, 3, 9, 9]","[0, 3, 12, 6, 3]"
12202,,,,
12203,,,,
12205,,,,
12210,,,,
12211,,,,
12226,,,,
12227,,,,
12228,"[0, 0, 5, 21, 16]","[0, 3, 8, 17, 14]","[0, 0, 9, 21, 12]","[1, 7, 23, 11, 0]"
12231,,,,
12233,,,,
12236,,,,
12237,,,,
12238,,,,
12240,"[1, 6, 6, 17, 12]","[6, 5, 3, 18, 10]","[1, 6, 5, 16, 14]","[0, 9, 19, 9, 5]"
12242,,,,
12245,"[0, 2, 6, 14, 29]","[0, 3, 7, 12, 28]","[0, 5, 6, 13, 26]","[5, 11, 23, 5, 6]"
12250,"[0, 0, 1, 3, 2]","[0, 0, 2, 1, 3]","[0, 0, 1, 0, 5]","[1, 0, 0, 3, 2]"
12320,,,,
12326,,,,
12330,,,,
12331,,,,
12333,,,,
12335,,,,
12336,"[0, 0, 1, 13, 6]","[0, 0, 5, 8, 7]","[0, 1, 1, 10, 8]","[0, 2, 11, 5, 2]"
12341,,,,
12342,,,,
12343,,,,
12344,,,,
12345,,,,
12350,"[1, 1, 3, 10, 12]","[2, 1, 4, 10, 10]","[1, 4, 8, 8, 6]","[1, 12, 11, 1, 2]"
12360,,,,
12361,"[0, 0, 1, 2, 11]","[0, 0, 3, 1, 10]","[0, 0, 0, 2, 12]","[0, 2, 10, 2, 0]"
12362,"[0, 0, 2, 10, 11]","[0, 1, 4, 11, 7]","[0, 2, 0, 6, 15]","[0, 3, 12, 7, 0]"
12363,,,,
12401,,,,
12402,,,,
12410,"[0, 0, 0, 5, 14]","[0, 0, 3, 1, 15]","[0, 2, 6, 4, 7]","[0, 1, 13, 3, 2]"
12411,,,,
12412,"[0, 3, 1, 7, 9]","[0, 3, 3, 4, 10]","[0, 2, 7, 5, 6]","[0, 4, 13, 2, 1]"
12415,,,,
12420,,,,
12421,"[0, 1, 2, 4, 4]","[1, 1, 4, 3, 2]","[0, 1, 2, 4, 4]","[0, 0, 4, 4, 3]"
12422,,,,
12423,"[0, 0, 1, 0, 1]","[0, 1, 0, 0, 1]","[0, 0, 1, 1, 0]","[0, 0, 2, 0, 0]"
12430,"[0, 0, 1, 2, 3]","[0, 0, 1, 2, 3]","[0, 0, 0, 1, 5]","[0, 0, 4, 1, 0]"
12431,"[0, 2, 3, 6, 2]","[0, 2, 6, 4, 1]","[2, 4, 3, 2, 2]","[1, 2, 10, 0, 0]"
12432,,,,
12440,,,,
12441,,,,
12442,,,,
12443,,,,
12444,,,,
12451,"[0, 0, 0, 1, 8]","[0, 0, 0, 5, 4]","[1, 1, 0, 1, 6]","[0, 0, 0, 5, 4]"
12452,,,,
12500,,,,
12550,,,,
12551,,,,
12552,"[1, 7, 8, 16, 8]","[6, 7, 7, 15, 5]","[6, 6, 11, 13, 4]","[1, 1, 23, 10, 5]"
12600,,,,
12601,"[0, 3, 5, 13, 16]","[2, 5, 8, 11, 7]","[8, 9, 10, 4, 2]","[1, 5, 16, 9, 2]"
12603,,,,
12604,,,,
12605,"[6, 5, 32, 40, 31]","[14, 18, 24, 38, 18]","[3, 12, 18, 38, 40]","[3, 10, 46, 32, 19]"
12611,"[0, 0, 4, 8, 8]","[2, 4, 4, 7, 2]","[2, 9, 6, 1, 1]","[0, 1, 6, 5, 7]"
12612,,,,
12614,,,,
12615,,,,
12616,"[0, 3, 4, 7, 2]","[1, 4, 6, 3, 2]","[0, 1, 3, 8, 4]","[0, 1, 14, 1, 0]"
12700,,,,
12701,"[0, 3, 14, 12, 10]","[0, 2, 15, 11, 10]","[0, 3, 12, 15, 8]","[2, 4, 23, 6, 3]"
12771,,,,
12772,"[2, 4, 8, 27, 64]","[5, 12, 13, 31, 43]","[0, 4, 6, 34, 60]","[1, 1, 21, 32, 49]"
12773,,,,
12774,,,,
12775,,,,
12810,,,,
12811,,,,
12812,,,,
12813,,,,
12821,"[0, 0, 0, 6, 4]","[0, 1, 0, 7, 1]","[0, 1, 3, 2, 3]","[0, 2, 4, 3, 0]"
12831,"[0, 0, 0, 2, 2]","[0, 0, 1, 1, 2]","[0, 0, 2, 1, 1]","[0, 1, 1, 1, 1]"
12832,"[0, 0, 4, 1, 2]","[0, 1, 1, 3, 2]","[0, 0, 3, 2, 2]","[0, 0, 3, 2, 1]"
12836,,,,
12837,,,,
12854,,,,
12856,,,,
12859,,,,
12902,,,,
12903,,,,
12904,,,,
12905,,,,
12906,,,,
12907,,,,
12908,,,,
12909,,,,
12910,,,,
12911,,,,
12912,,,,
12914,,,,
12915,,,,
12916,,,,
12917,,,,
12918,,,,
12919,,,,
12920,,,,
12921,,,,
12922,,,,
12923,,,,
12925,,,,
12926,,,,
12933,,,,
12934,,,,
12936,"[0, 0, 1, 1, 0]","[0, 0, 1, 1, 0]","[0, 1, 1, 0, 0]","[0, 0, 2, 0, 0]"
12940,,,,
12941,,,,
12950,,,,
12951,,,,
12952,,,,
12953,,,,
12954,,,,
12B1B,,,,
13000,,,,
13001,,,,
13002,,,,
13004,,,,
13006,,,,
13011,,,,
13015,,,,
13020,,,,
13031,,,,
13042,,,,
13106,,,,
13111,,,,
13120,,,,
13123,,,,
13125,,,,
13126,,,,
13127,,,,
13128,,,,
13129,,,,
13131,,,,
13132,,,,
13133,,,,
13134,,,,
13135,,,,
13141,,,,
13150,,,,
13160,,,,
13231,,,,
13232,,,,
13233,,,,
13235,,,,
13236,,,,
13240,,,,
13250,,,,
13251,,,,
13300,,,,
13301,,,,
13321,,,,
13351,,,,
13352,,,,
13400,,,,
13410,,,,
13420,,,,
13430,,,,
13432,,,,
13435,,,,
13436,,,,
13437,,,,
13440,,,,
13442,,,,
13450,,,,
13451,,,,
13500,,,,
13501,,,,
13502,,,,
13506,,,,
13510,,,,
13511,,,,
13515,,,,
13518,,,,
13520,,,,
13521,,,,
13523,,,,
13524,,,,
13525,,,,
13528,,,,
13531,,,,
13535,,,,
13538,,,,
13540,,,,
13542,,,,
13544,,,,
13545,,,,
13546,,,,
13548,,,,
13560,,,,
13561,,,,
13562,,,,
13563,,,,
13800,,,,
13820,,,,
13832,,,,
13833,,,,
13835,,,,
13841,,,,
22000,,,,
22001,"[1, 2, 7, 13, 10]","[2, 2, 9, 11, 8]","[1, 2, 10, 8, 11]","[0, 1, 17, 8, 5]"
22002,"[0, 0, 0, 0, 5]","[0, 1, 0, 0, 4]","[0, 0, 0, 1, 4]","[0, 0, 5, 0, 0]"
22003,,,,
22004,,,,
22005,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
22006,"[0, 0, 3, 8, 26]","[0, 0, 4, 11, 22]","[0, 1, 12, 9, 15]","[0, 11, 22, 3, 1]"
22007,"[0, 0, 0, 8, 17]","[0, 0, 1, 10, 12]","[0, 0, 0, 7, 16]","[0, 2, 15, 4, 2]"
22050,,,,
22051,"[0, 2, 5, 19, 50]","[1, 3, 8, 21, 42]","[2, 2, 6, 17, 48]","[0, 8, 40, 18, 9]"
22052,"[0, 0, 1, 6, 17]","[1, 0, 2, 9, 11]","[0, 0, 0, 6, 17]","[0, 2, 3, 9, 9]"
22053,"[0, 0, 0, 2, 9]","[0, 1, 1, 2, 7]","[0, 1, 0, 4, 6]","[0, 0, 3, 6, 2]"
22054,,,,
22055,,,,
22056,,,,
22057,,,,
22058,,,,
22059,,,,
22060,"[0, 0, 0, 0, 1]","[0, 0, 0, 1, 0]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]"
22061,"[0, 0, 0, 2, 3]","[0, 0, 0, 2, 3]","[0, 0, 0, 3, 2]","[0, 0, 2, 2, 1]"
22062,"[0, 1, 0, 5, 5]","[0, 1, 3, 2, 5]","[2, 4, 0, 2, 3]","[2, 3, 5, 1, 0]"
22100,"[0, 0, 1, 3, 9]","[0, 0, 0, 8, 5]","[0, 2, 2, 1, 8]","[0, 2, 5, 5, 1]"
22101,,,,
22102,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]"
22104,,,,
22107,,,,
22110,,,,
22111,"[3, 10, 27, 34, 14]","[14, 19, 18, 17, 13]","[11, 17, 23, 23, 6]","[7, 23, 41, 7, 3]"
22112,"[0, 1, 1, 5, 11]","[0, 1, 2, 6, 7]","[0, 2, 3, 6, 5]","[0, 2, 6, 4, 3]"
22113,,,,
22115,,,,
22116,"[0, 0, 1, 4, 6]","[0, 1, 0, 4, 6]","[0, 1, 2, 3, 5]","[0, 2, 7, 0, 2]"
22117,,,,
22118,,,,
22123,,,,
22125,,,,
22126,"[0, 1, 2, 7, 8]","[0, 2, 1, 8, 7]","[1, 4, 4, 2, 7]","[1, 4, 8, 3, 2]"
22136,,,,
22140,"[0, 0, 2, 9, 4]","[0, 3, 3, 5, 4]","[1, 4, 5, 4, 1]","[0, 0, 13, 2, 0]"
22141,,,,
22142,,,,
22145,"[1, 1, 4, 9, 3]","[2, 2, 4, 4, 6]","[2, 3, 5, 4, 4]","[0, 0, 10, 6, 2]"
22150,"[0, 1, 5, 12, 9]","[1, 2, 6, 14, 4]","[1, 5, 9, 8, 4]","[1, 4, 13, 6, 3]"
22160,"[1, 0, 6, 16, 37]","[0, 3, 5, 17, 34]","[0, 1, 5, 17, 36]","[0, 3, 32, 18, 6]"
22161,,,,
22163,,,,
22166,"[0, 0, 2, 10, 18]","[0, 0, 5, 9, 16]","[0, 4, 2, 10, 14]","[0, 1, 11, 10, 8]"
22168,,,,
22172,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
22175,,,,
22176,,,,
22179,,,,
22180,"[0, 0, 3, 9, 6]","[0, 2, 4, 9, 3]","[0, 1, 1, 8, 8]","[1, 4, 8, 3, 2]"
22200,,,,
22201,,,,
22202,,,,
22203,"[2, 4, 1, 4, 4]","[3, 4, 3, 3, 2]","[1, 6, 4, 1, 3]","[0, 1, 9, 3, 2]"
22204,,,,
22205,,,,
22206,,,,
22207,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
22208,"[0, 1, 4, 11, 26]","[1, 1, 14, 14, 11]","[0, 6, 7, 17, 11]","[1, 2, 13, 15, 10]"
22210,"[0, 2, 1, 18, 21]","[1, 1, 5, 19, 16]","[1, 3, 16, 11, 10]","[0, 3, 15, 12, 10]"
22211,,,,
22212,,,,
22213,,,,
22222,,,,
22230,,,,
22231,"[6, 4, 12, 16, 7]","[7, 5, 10, 16, 7]","[3, 10, 11, 11, 10]","[1, 3, 27, 7, 7]"
22232,,,,
22233,,,,
22234,,,,
22235,,,,
22236,,,,
22237,"[0, 2, 6, 18, 10]","[1, 4, 6, 15, 9]","[2, 5, 7, 9, 12]","[0, 1, 23, 8, 3]"
22238,"[0, 2, 1, 1, 3]","[1, 2, 1, 1, 2]","[3, 1, 1, 0, 2]","[0, 1, 5, 0, 1]"
22239,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
22281,,,,
22282,,,,
22283,"[0, 2, 4, 10, 8]","[2, 3, 5, 8, 6]","[2, 2, 3, 6, 11]","[0, 2, 7, 5, 10]"
22284,,,,
22285,"[0, 1, 2, 12, 6]","[2, 0, 5, 11, 3]","[1, 2, 3, 9, 6]","[0, 5, 11, 5, 0]"
22400,,,,
22403,,,,
22431,,,,
22432,,,,
22433,,,,
22434,,,,
22435,,,,
22436,,,,
22437,,,,
22438,,,,
22439,"[1, 2, 7, 16, 12]","[4, 3, 9, 7, 15]","[4, 8, 12, 10, 3]","[0, 1, 20, 14, 2]"
22440,,,,
22441,,,,
22442,,,,
22443,,,,
22444,,,,
22445,,,,
22446,,,,
22447,,,,
22448,,,,
22449,"[3, 10, 18, 16, 15]","[9, 14, 13, 14, 12]","[14, 12, 15, 12, 9]","[5, 12, 32, 8, 4]"
22450,,,,
22451,,,,
22452,,,,
22453,,,,
22455,,,,
22460,"[3, 12, 14, 23, 16]","[3, 9, 13, 19, 23]","[0, 3, 9, 20, 35]","[7, 22, 30, 4, 4]"
22461,,,,
22462,,,,
22466,,,,
22475,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
22476,,,,
22481,"[0, 2, 4, 7, 9]","[2, 3, 1, 6, 8]","[3, 1, 5, 3, 7]","[0, 3, 9, 6, 1]"
22485,"[0, 0, 1, 1, 9]","[0, 0, 1, 1, 8]","[0, 0, 1, 3, 7]","[0, 1, 2, 3, 5]"
22486,,,,
22487,,,,
22488,,,,
22490,,,,
22506,,,,
22507,,,,
22508,,,,
22510,,,,
22511,"[0, 0, 2, 2, 7]","[0, 1, 1, 3, 6]","[1, 1, 0, 1, 8]","[0, 0, 5, 3, 3]"
22512,,,,
22513,,,,
22525,"[0, 0, 0, 13, 8]","[0, 3, 0, 11, 7]","[0, 1, 0, 8, 12]","[0, 1, 6, 10, 4]"
22530,"[0, 0, 0, 2, 2]","[0, 0, 0, 1, 3]","[0, 0, 0, 3, 1]","[0, 1, 2, 1, 0]"
22600,"[1, 0, 0, 9, 10]","[0, 1, 2, 10, 7]","[0, 0, 0, 6, 14]","[2, 2, 10, 5, 1]"
22601,,,,
22602,,,,
22603,"[0, 0, 1, 7, 4]","[0, 3, 0, 8, 1]","[0, 1, 4, 4, 3]","[0, 0, 9, 2, 1]"
22604,,,,
22605,,,,
22610,"[0, 0, 0, 3, 4]","[0, 0, 3, 1, 3]","[2, 2, 1, 1, 1]","[0, 1, 3, 2, 1]"
22611,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
22612,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]"
22620,,,,
22649,,,,
22650,,,,
22651,,,,
22652,,,,
22653,,,,
22654,,,,
22655,,,,
22656,,,,
22680,,,,
22681,,,,
22700,,,,
22800,,,,
23061,,,,
23101,"[1, 5, 10, 15, 6]","[0, 6, 10, 8, 13]","[1, 2, 4, 12, 18]","[0, 4, 16, 14, 3]"
23102,,,,
23151,,,,
23152,,,,
23153,,,,
23154,,,,
23155,,,,
23201,,,,
23205,"[0, 3, 2, 12, 6]","[0, 3, 5, 9, 6]","[0, 4, 6, 6, 7]","[2, 4, 6, 5, 6]"
23206,,,,
23207,,,,
23208,,,,
23209,,,,
23210,,,,
23211,,,,
23212,,,,
23213,,,,
23214,"[0, 0, 4, 18, 34]","[0, 0, 2, 9, 45]","[0, 0, 0, 12, 44]","[5, 15, 29, 3, 4]"
23215,,,,
23216,,,,
23220,"[0, 3, 2, 7, 1]","[1, 2, 3, 2, 5]","[1, 4, 2, 3, 3]","[0, 2, 9, 2, 0]"
23231,,,,
23255,,,,
23256,,,,
23257,,,,
23258,,,,
23259,,,,
23260,"[0, 0, 4, 6, 8]","[0, 1, 3, 8, 6]","[3, 3, 5, 2, 5]","[0, 5, 10, 3, 0]"
23261,,,,
23262,,,,
23263,"[0, 0, 0, 2, 2]","[0, 0, 1, 1, 2]","[0, 0, 0, 2, 2]","[0, 0, 3, 1, 0]"
23271,,,,
23272,"[0, 1, 1, 1, 3]","[0, 1, 1, 1, 3]","[0, 1, 1, 0, 4]","[0, 0, 2, 1, 3]"
23281,,,,
23301,"[0, 0, 0, 1, 4]","[0, 0, 0, 3, 2]","[0, 1, 0, 2, 2]","[0, 0, 2, 3, 0]"
23302,,,,
23360,"[0, 0, 0, 1, 4]","[0, 0, 0, 4, 1]","[0, 0, 0, 3, 2]","[0, 0, 2, 2, 1]"
23501,,,,
23511,"[0, 1, 0, 4, 6]","[0, 1, 1, 5, 4]","[0, 4, 1, 2, 4]","[0, 0, 6, 4, 1]"
23512,,,,
23520,,,,
23521,"[0, 5, 6, 11, 12]","[1, 6, 8, 13, 6]","[0, 3, 9, 6, 16]","[3, 5, 13, 9, 4]"
23522,"[0, 0, 0, 1, 4]","[0, 0, 0, 2, 3]","[0, 1, 0, 2, 2]","[0, 0, 4, 1, 0]"
23530,,,,
23531,,,,
23532,,,,
23533,,,,
23534,,,,
23551,,,,
23552,,,,
23561,,,,
23564,"[0, 3, 6, 8, 3]","[0, 3, 7, 7, 3]","[1, 4, 5, 6, 4]","[0, 1, 12, 4, 3]"
23601,,,,
23661,,,,
23662,"[0, 0, 0, 2, 17]","[0, 0, 0, 4, 15]","[0, 1, 2, 5, 11]","[0, 3, 9, 4, 3]"
23711,"[0, 1, 3, 5, 3]","[0, 1, 5, 4, 2]","[0, 3, 3, 4, 1]","[0, 0, 9, 2, 1]"
23715,,,,
23732,"[0, 0, 1, 5, 10]","[0, 1, 5, 5, 5]","[0, 1, 5, 6, 4]","[0, 3, 7, 4, 2]"
23733,,,,
23734,,,,
23735,,,,
23736,,,,
23831,,,,
23832,,,,
23833,,,,
23834,,,,
23835,,,,
23836,,,,
23837,,,,
23838,,,,
23839,,,,
23841,,,,
23842,,,,
23851,,,,
23900,,,,
23901,,,,
23902,,,,
23903,"[0, 0, 0, 4, 6]","[0, 0, 0, 5, 4]","[0, 0, 2, 5, 2]","[0, 1, 4, 2, 2]"
23904,"[0, 0, 0, 3, 5]","[0, 0, 1, 4, 3]","[0, 1, 3, 2, 1]","[0, 1, 2, 4, 0]"
23921,,,,
23922,,,,
23923,,,,
23924,,,,
23925,"[0, 0, 0, 3, 4]","[0, 0, 0, 3, 4]","[1, 0, 2, 2, 2]","[0, 0, 4, 2, 1]"
23926,"[0, 0, 0, 0, 6]","[0, 0, 0, 0, 6]","[1, 0, 2, 1, 2]","[0, 0, 2, 0, 4]"
23931,,,,
23932,,,,
23933,,,,
23935,,,,
23936,,,,
23937,"[0, 2, 0, 3, 2]","[4, 0, 0, 1, 2]","[0, 0, 2, 2, 3]","[0, 0, 4, 2, 1]"
23951,,,,
23952,"[0, 0, 0, 3, 4]","[0, 2, 2, 1, 2]","[0, 1, 1, 3, 2]","[0, 0, 0, 1, 6]"
23953,"[0, 0, 2, 8, 5]","[0, 1, 5, 6, 2]","[0, 1, 4, 4, 5]","[0, 0, 8, 6, 0]"
23954,"[0, 0, 1, 1, 1]","[0, 1, 0, 2, 0]","[0, 1, 0, 0, 2]","[0, 1, 0, 1, 1]"
23961,,,,
23962,,,,
23963,"[0, 0, 0, 0, 6]","[0, 0, 1, 1, 4]","[0, 0, 0, 2, 4]","[0, 1, 2, 2, 1]"
23981,,,,
23982,"[0, 1, 0, 4, 3]","[0, 0, 3, 1, 4]","[0, 1, 0, 1, 6]","[0, 1, 3, 1, 3]"
23F11,,,,
23F12,,,,
23F13,,,,
23F14,,,,
23F15,,,,
23F16,,,,
24001,,,,
24002,,,,
24003,,,,
24004,,,,
24005,,,,
24006,,,,
24007,,,,
24008,,,,
24023,,,,
24101,,,,
24102,,,,
24103,,,,
24104,,,,
24201,,,,
24690,,,,
24691,,,,
24801,,,,
24802,,,,
24901,,,,
24902,,,,
24903,,,,
24904,,,,
24999,,,,
25102,,,,
25104,,,,
25105,,,,
25106,"[2, 4, 2, 7, 1]","[1, 2, 7, 4, 2]","[2, 3, 2, 8, 1]","[0, 0, 10, 5, 1]"
25107,,,,
25108,"[0, 0, 0, 4, 8]","[0, 0, 0, 2, 10]","[0, 1, 0, 3, 8]","[0, 1, 7, 0, 4]"
25109,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 2, 0, 0]"
25201,,,,
25202,,,,
25203,,,,
25204,,,,
25205,,,,
25206,,,,
25207,,,,
25208,,,,
25209,,,,
25210,"[0, 0, 1, 1, 2]","[0, 0, 1, 1, 2]","[0, 0, 1, 1, 2]","[0, 0, 1, 0, 3]"
25211,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 1, 0, 1]"
25212,,,,
25213,,,,
25214,,,,
25215,,,,
25217,,,,
25218,,,,
25301,,,,
25302,"[0, 0, 5, 4, 10]","[0, 0, 4, 8, 7]","[0, 2, 5, 6, 6]","[0, 4, 12, 2, 1]"
25303,"[0, 0, 0, 1, 8]","[0, 0, 0, 3, 6]","[0, 0, 0, 0, 8]","[0, 0, 6, 2, 0]"
25304,,,,
25305,,,,
25306,,,,
25307,,,,
25308,,,,
25309,,,,
25310,,,,
25311,"[0, 0, 0, 3, 2]","[0, 0, 0, 3, 2]","[0, 0, 0, 2, 3]","[0, 0, 4, 0, 1]"
25312,"[0, 0, 0, 3, 0]","[0, 0, 0, 2, 1]","[0, 0, 0, 0, 3]","[0, 0, 2, 1, 0]"
25313,,,,
25314,,,,
25315,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]"
25316,,,,
25317,"[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]"
25318,"[0, 0, 0, 1, 3]","[1, 0, 0, 1, 2]","[0, 0, 2, 0, 2]","[0, 0, 4, 0, 0]"
25320,,,,
25321,,,,
25322,,,,
25323,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]"
25324,,,,
25325,"[0, 2, 6, 13, 14]","[0, 2, 9, 12, 12]","[1, 6, 8, 12, 8]","[3, 7, 20, 2, 3]"
25326,,,,
25327,,,,
25328,"[0, 3, 2, 3, 2]","[2, 2, 3, 2, 1]","[0, 1, 4, 1, 4]","[0, 0, 1, 2, 7]"
25329,,,,
25330,,,,
25331,,,,
25332,,,,
25333,,,,
25334,,,,
25335,,,,
25336,,,,
25340,,,,
25341,,,,
25342,,,,
25343,,,,
25344,"[0, 0, 2, 11, 6]","[0, 1, 5, 9, 3]","[0, 1, 4, 10, 3]","[0, 4, 11, 3, 0]"
25345,"[0, 1, 1, 3, 5]","[0, 1, 4, 0, 5]","[0, 0, 1, 1, 7]","[0, 0, 7, 2, 1]"
25346,"[0, 0, 3, 1, 2]","[0, 1, 2, 1, 2]","[0, 0, 1, 1, 4]","[0, 0, 2, 3, 1]"
25347,,,,
25348,,,,
25349,,,,
25350,"[0, 0, 2, 0, 5]","[0, 1, 0, 3, 3]","[0, 1, 4, 1, 1]","[0, 0, 7, 0, 0]"
25351,,,,
25352,"[1, 2, 5, 9, 0]","[1, 2, 6, 7, 1]","[0, 0, 4, 11, 2]","[1, 1, 13, 1, 1]"
25353,,,,
25354,,,,
25355,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
25501,,,,
25602,,,,
25606,,,,
25607,,,,
25608,,,,
25610,,,,
25613,,,,
25615,,,,
25616,,,,
25617,,,,
25618,,,,
25619,,,,
25620,,,,
25621,,,,
25622,,,,
25623,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
25624,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
25625,,,,
25626,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 0, 1, 1]","[0, 0, 1, 1, 0]"
25627,,,,
25628,,,,
25701,,,,
25702,,,,
25703,,,,
25704,,,,
25705,,,,
25706,,,,
25801,,,,
25802,,,,
25803,,,,
25805,,,,
25807,,,,
25808,,,,
25809,,,,
25810,,,,
25811,,,,
25812,,,,
25813,,,,
25814,,,,
25815,,,,
25816,,,,
25817,,,,
25818,,,,
25819,,,,
25820,,,,
25821,,,,
25822,,,,
25823,,,,
25824,,,,
25825,,,,
25826,,,,
25827,,,,
25829,,,,
25830,,,,
25831,,,,
25832,,,,
25833,,,,
25834,,,,
25835,,,,
26000,,,,
